"pesticide","food","EDI_prob","HQ_p5","HQ_p50","HQ_p95","HQ_exceed","LCR_p5","LCR_p50","LCR_p95","LCR_exceed"
"O,P'-Ddt","Khat",0.000601223925052678,0.0773940748136884,0.572282216923949,4.30400603739264,33.13,1.3156992718327e-05,9.72879768770713e-05,0.000731681026356748,49.13
"O,P'-Ddt","Meat",0.00128412207016851,0.356370892357928,1.64058981782341,7.92636213760017,69.85,6.05830517008478e-05,0.000278900269029979,0.00134748156339203,86.78
"O,P'-Ddt","Milk",0.00060406966575956,0.0343578642577138,0.373491360466718,4.4505523990207,25.53,5.84083692381135e-06,6.34935312793421e-05,0.000756593907833519,37.92
"O,P'-Ddt","Onion",0.00122196808190153,0.357627440519863,1.62869222048698,7.15744706636378,70.19,6.07966648883767e-05,0.000276877677482787,0.00121676600128184,86.66
"O,P'-Ddt","Potato",0.000298752031290611,0.0311579869732259,0.263410054695218,2.21036781551835,14.93,5.2968577854484e-06,4.47797092981871e-05,0.000375762528638119,26.54
"O,P'-Ddt","Wheat",0.00150640406264924,0.387576997799014,1.82865600322211,9.34268275955194,73.69,6.58880896258323e-05,0.000310871520547759,0.00158825606912383,88.3
"Oxamyl","Fish",0.00207936765509929,3.28281104354255,13.8481212831884,59.8164669342268,99.88,NA,NA,NA,NA
"Oxy-Chlordane","Fish",6.06372306780765e-06,1.84459165615806e-07,4.97051806738196e-05,0.0146130702345467,0.17,3.2280353982766e-11,8.69840661791844e-09,2.55728729104567e-06,0.29
"P,P'-Ddd","Cabbage",0.00138802533860401,0.455080886747277,1.85736533220481,8.08779494237025,76.37,5.46097064096733e-05,0.000222883839864577,0.00097053539308443,82.5
"P,P'-Ddd","Drinking Water",0.00298705311472869,2.91830332332402,5.50584204104368,10.5470697709413,100,0.000350196398798882,0.000660701044925242,0.00126564837251295,100
"P,P'-Ddd","Fish",0.000237457102385256,0.000537550262357297,0.0253269336147738,1.07335692342919,5.43,6.45060314828757e-08,3.03923203377286e-06,0.000128802830811503,6.41
"P,P'-Ddd","Honey",0.00011900512604359,0.0181986300252307,0.123231750214884,0.785061013112288,3.3,2.18383560302769e-06,1.47878100257861e-05,9.42073215734746e-05,4.42
"P,P'-Ddd","Khat",0.000231031805002657,0.0092867632466602,0.126225455378151,1.78553177022277,10.56,1.11441158959922e-06,1.51470546453781e-05,0.000214263812426732,12.67
