"pesticide","type","class","food","food_origin","food_group","k","n_samp","Mean","SD"
"butachlor","Herbicide",NA,"Fish","Animal Orgin","Meat",2,16,15.69,64.76
"carbaryl","Insecticide","Carbamate","Fish","Animal Orgin","Meat",2,16,0.4,15.16
"carbaryl","Insecticide","Carbamate","Honey","Others","Others",14,83,8.08,13.67
"carbofuran","Insecticide","Carbamate","Honey","Others","Others",14,113,4.81,14.24
"chlordane","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",5,101,2.26,14.17
"chlordane","Insecticide","Organochlorine","Milk","Animal Orgin","Milk",3,15,17.71,23.35
"chlorflurenol-methyl","Herbicide",NA,"Tomato","Plant Origin","Vegetables",3,12,427.94,4.71
"chlorothalonil","Fungicide",NA,"Meat","Animal Orgin","Meat",6,30,3.21,6.41
"chlorpyrifos","Insecticide","Organophosphate","Fish","Animal Orgin","Meat",4,82,3.93,24.36
"chlorpyrifos","Insecticide","Organophosphate","Honey","Others","Others",16,125,8,18
"chlorpyrifos","Insecticide","Organophosphate","Pineapple","Plant Origin","Fruits",5,20,2.46,14.4
"chlorpyrifos","Insecticide","Organophosphate","Potato","Plant Origin","Vegetables",5,20,1.92,9.62
"chlorpyrifos","Insecticide","Organophosphate","Tomato","Plant Origin","Vegetables",5,20,2.75,6.98
"cis-chlordane","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",5,106,0.22,18.12
"cis-chlordane","Insecticide","Organochlorine","Honey","Others","Others",6,90,24.97,18.59
"cis-chlordane","Insecticide","Organochlorine","Khat","Others","Others",5,39,10.1,8.62
"cis-heptachlor epoxide","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",5,106,0.56,24.92
"cis-heptachlor epoxide","Insecticide","Organochlorine","Honey","Others","Others",6,90,11.2,15.27
"cis-heptachlor epoxide","Insecticide","Organochlorine","Khat","Others","Others",2,30,0.54,6.57
"cyhalothrin","Insecticide","Pyrethroid","Wheat","Plant Origin","Cereals",2,27,7.92,7.48
"cymiazole ","Insecticide","Other","Honey","Others","Others",14,131,6.08,14.99
"cypermethrin","Insecticide","Pyrethroid","Drinking water","Others","Others",6,18,84.48,7.59
"DDT","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",11,202,4.54,18.9
"delta-HCH","Insecticide","Organochlorine","Fish","Animal Orgin","Meat",4,100,0.92,35.5
"delta-HCH","Insecticide","Organochlorine","Khat","Others","Others",10,74,12.4,13.59
"delta-HCH","Insecticide","Organochlorine","Onion","Plant Origin","Vegetables",4,16,7.79,4.24
"delta-HCH","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",3,12,8.6,4.36
"deltamethrin","Insecticide","Pyrethroid","Cabbage","Plant Origin","Vegetables",4,48,21.38,10.74
"deltamethrin","Insecticide","Pyrethroid","Drinking water","Others","Others",6,18,20.31,8.44
"deltamethrin","Insecticide","Pyrethroid","Potato","Plant Origin","Vegetables",4,48,13.18,10.32
"diazinon","Insecticide","Organochlorine","Cabbage","Plant Origin","Vegetables",3,234,0.02,27508.39
"diazinon","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",3,191,1.12,26.53
"diazinon","Insecticide","Organochlorine","Wheat","Plant Origin","Cereals",14,66,127,13.97
"dibutyl-chlorendate","Herbicide",NA,"Tea","Others","Others",13,39,374,6.31
"dichlorvos","Insecticide","Organophosphate","Honey","Others","Others",14,130,5.01,15.85
"dieldrin","Insecticide","Organochlorine","Honey","Others","Others",6,90,10.79,11.29
"dieldrin","Insecticide","Organochlorine","Khat","Others","Others",5,39,2.91,25.79
"dieldrin","Insecticide","Organochlorine","Meat","Animal Orgin","Meat",6,30,7.26,10.68
"dieldrin","Insecticide","Organochlorine","Pineapple","Plant Origin","Fruits",5,20,1.18,11.36
"dieldrin","Insecticide","Organochlorine","Potato","Plant Origin","Vegetables",5,20,11.99,11.09
"dieldrin","Insecticide","Organochlorine","Tea","Others","Others",16,48,190.01,7
"dieldrin","Insecticide","Organochlorine","Tomato","Plant Origin","Vegetables",5,20,8.29,16.19
"dieldrin","Insecticide","Organochlorine","Wheat","Plant Origin","Cereals",2,8,7.44,16.4
"diethyltoluamide","Insecticide","Other","Honey","Others","Others",14,152,5.36,13.93
"difenoconazole","Fungicide",NA,"Fish","Animal Orgin","Meat",2,16,0.27,15.52
"dimethachlor","Herbicide",NA,"Cabbage","Plant Origin","Vegetables",2,24,213.76,48.16
"dimethachlor","Herbicide",NA,"Drinking water","Others","Others",5,15,111.35,5.77
"dimethoate","Insecticide","Organophosphate","Corn","Plant Origin","Cereals",3,9,68.34,10.29
"dimethoate","Insecticide","Organophosphate","Honey","Others","Others",14,87,11.22,11.47
"dimethoate","Insecticide","Organophosphate","Milk","Animal Orgin","Milk",3,15,15.48,6.97
"dimethoate","Insecticide","Organophosphate","Millet","Plant Origin","Cereals",3,9,61.57,11.67
"dimethoate","Insecticide","Organophosphate","Pineapple","Plant Origin","Fruits",5,20,9.14,12.92
"dimethoate","Insecticide","Organophosphate","Potato","Plant Origin","Vegetables",5,20,11.16,14.04
"dimethoate","Insecticide","Organophosphate","Rice","Plant Origin","Cereals",3,9,66.98,18.3
"dimethoate","Insecticide","Organophosphate","Sorghum","Plant Origin","Cereals",3,9,48.55,15.72
"dimethoate","Insecticide","Organophosphate","Tomato","Plant Origin","Vegetables",5,20,5.12,10.29
